edge_type_id target_query source_query weight_sigma distance_range weight_function target_sections dynamics_params syn_weight delay model_template
171 node_type_id=='487664663' pop_name=='i6Pvalb' 90.0 "[0.0, 50.0]" DirectionRule_others "[""somatic"", ""basal"", ""apical""]" GABA_InhToExc.json 0.00015111610268 0.9 exp2syn
172 node_type_id=='471129934' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00103795967626 1.5 exp2syn
173 node_type_id=='471143169' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.00044308964526699996 1.5 exp2syn
174 node_type_id=='471758398' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0006198463559269999 1.5 exp2syn
175 node_type_id=='471767045' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000794301297115 1.5 exp2syn
176 node_type_id=='485574832' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000835992146815 1.5 exp2syn
177 node_type_id=='485835055' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000647903145051 1.5 exp2syn
178 node_type_id=='485880739' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.0007721614098510001 1.5 exp2syn
179 node_type_id=='486052980' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000897951825332 1.5 exp2syn
180 node_type_id=='486110216' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000688643322757 1.5 exp2syn
181 node_type_id=='487664663' pop_name=='e4Scnn1a' 30.0 "[0.0, 1e+20]" DirectionRule_EE "[""basal"", ""apical""]" AMPA_ExcToExc.json 0.000890493189227 1.5 exp2syn
