node_type_id location pop_name population morphology model_type ei model_processing model_template dynamics_params
468120757 VisL5 e5noRbp4 v1 Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 468120757_fit.json
468193142 VisL5 e5noRbp4 v1 Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 468193142_fit.json
469793303 VisL5 e5noRbp4 v1 Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 469793303_fit.json
473601979 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 473601979_fit.json
476048909 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 476048909_fit.json
476131588 VisL5 e5noRbp4 v1 Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 476131588_fit.json
480116737 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 480116737_fit.json
480169178 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-197353.06.02.01_496079587_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 480169178_fit.json
480351780 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-197851.04.01.01_491770985_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 480351780_fit.json
480353286 VisL5 e5noRbp4 v1 Rorb-IRES2-Cre-D_Ai14-197851.05.02.01_492413372_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 480353286_fit.json
100000109 VisL5 LIFi5Htr3a v1  point_process i  nrn:IntFire1 i5Htr3a_avg_lif.json
478110866 VisL5 i5Htr3a v1 Htr3a-Cre_NO152_Ai14-192821.05.01.01_491771409_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 478110866_fit.json
481001895 VisL5 i5Htr3a v1 Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 481001895_fit.json
481136138 VisL5 i5Htr3a v1 Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 481136138_fit.json
482644550 VisL5 i5Htr3a v1 Htr3a-Cre_NO152_Ai14-200442.05.02.01_495337161_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 482644550_fit.json
100000111 VisL5 LIFi5Pvalb v1  point_process i  nrn:IntFire1 i5Pvalb_avg_lif.json
313861608 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-165874.04.02.01_491119570_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 313861608_fit.json
321023397 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-171555.06.01.01_496722847_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 321023397_fit.json
333785962 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-176852.05.02.01_513557613_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 333785962_fit.json
396608557 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-177452.03.02.01_491119336_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 396608557_fit.json
469610831 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-177452.03.01.01_491120251_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 469610831_fit.json
471077857 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 471077857_fit.json
471085676 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 471085676_fit.json
478793814 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 478793814_fit.json
486783119 VisL5 i5Pvalb v1 Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 486783119_fit.json
100000118 VisL5 LIFi5Sst v1  point_process i  nrn:IntFire1 i5Sst_avg_lif.json
323475862 VisL5 i5Sst v1 Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 323475862_fit.json
464198958 VisL5 i5Sst v1 Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 464198958_fit.json
475517090 VisL5 i5Sst v1 Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 475517090_fit.json
478396248 VisL5 i5Sst v1 Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 478396248_fit.json
482690728 VisL5 i5Sst v1 Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc biophysical i aibs_perisomatic ctdb:Biophys1.hoc 482690728_fit.json
100000121 VisL6 LIFe6Ntsr1 v1  point_process e  nrn:IntFire1 e6Ntsr1_avg_lif.json
466632464 VisL6 e6Ntsr1 v1 Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 466632464_fit.json
471410185 VisL6 e6Ntsr1 v1 Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc biophysical e aibs_perisomatic ctdb:Biophys1.hoc 471410185_fit.json
