timestamps population node_ids
96.40000000011335 column 564
91.27500000011221 column 588
96.27500000011331 column 588
91.37500000011221 column 864
96.37500000011336 column 864
1.6000000000999963 column 73
6.57500000010006 column 73
1.5750000000999964 column 109
6.5500000001000585 column 109
1.4500000000999969 column 133
6.450000000100057 column 133
1.4750000000999968 column 169
6.475000000100057 column 169
1.400000000099997 column 205
6.400000000100057 column 205
1.8750000000999956 column 361
6.9250000001000656 column 361
1.0500000000999985 column 817
6.050000000100052 column 817
1.400000000099997 column 829
6.375000000100057 column 829
1.1750000000999978 column 973
6.175000000100053 column 973
16.60000000009959 column 73
11.725000000099866 column 109
11.450000000099886 column 133
16.4500000000996 column 133
11.525000000099881 column 169
16.550000000099594 column 169
11.400000000099888 column 205
16.4250000000996 column 205
11.075000000099905 column 817
16.075000000099617 column 817
11.375000000099888 column 829
16.400000000099602 column 829
11.200000000099898 column 973
16.200000000099617 column 973
26.62500000009902 column 73
21.675000000099306 column 109
21.450000000099315 column 133
26.45000000009903 column 133
21.575000000099312 column 169
26.600000000099026 column 169
21.42500000009932 column 205
26.425000000099033 column 205
21.075000000099337 column 817
26.07500000009905 column 817
21.400000000099322 column 829
26.400000000099034 column 829
21.200000000099326 column 973
26.20000000009905 column 973
36.625000000099774 column 73
31.625000000098733 column 109
37.00000000009985 column 109
31.450000000098747 column 133
36.45000000009973 column 133
31.60000000009874 column 169
36.60000000009976 column 169
31.42500000009875 column 205
36.42500000009972 column 205
31.07500000009877 column 817
36.07500000009964 column 817
31.40000000009875 column 829
36.40000000009972 column 829
31.20000000009876 column 973
36.20000000009967 column 973
46.62500000010204 column 73
46.65000000010204 column 109
41.450000000100864 column 133
46.450000000101994 column 133
41.6000000001009 column 169
46.57500000010204 column 169
41.42500000010086 column 205
46.425000000101996 column 205
41.07500000010078 column 817
46.075000000101916 column 817
41.40000000010085 column 829
46.400000000102 column 829
41.200000000100815 column 973
46.20000000010194 column 973
56.62500000010432 column 73
56.62500000010432 column 109
51.45000000010314 column 133
56.45000000010428 column 133
51.57500000010317 column 169
56.575000000104296 column 169
51.42500000010313 column 205
