% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-172.1623373321693        287.8166942349409        -144.99999999999997      0.4559408525815308
-175.50060011777913       289.1828044025344        -140.17314712726753      0.44726753040433526
-180.1523698726562        283.0176968874627        -140.56297616134233      0.435389959688162
-178.6391852498301        282.5299879000436        -144.99999999999997      0.44065744059397993
-144                      232                      -144.99999999999997      0.5976059332035132
-141.99999999999994       229.99999999999994       -144.99999999999997      0.597605933294787
-140.20430912059248       233.81712926050847       -144.99999999999997      0.5976059333587883
-143.77379005770214       234.73500815916415       -139.5137987834406       0.5902395332113725
-125.99999999999997       260                      -144.99999999999997      0.5976059331512047
-123.99999999999997       258                      -144.99999999999997      0.5976059332147192
-126.57512440260888       259.7860766313704        -141.75620662405944      0.5985202643839578
-127.54977665712053       256.4592073370361        -144.99999999999997      0.597605933159664
-122.58006832648375       261.7808918596948        -144.99999999999997      0.5979234409459767
-176.0000000000001        178.00000000000014       -145.00000000000006      0.5348003911707507
-177.8254405043664        178.16384565473984       -141.54221209281206      0.5063420754736624
-182.12943370143623       177.01278181157625       -144.99999999999997      0.48761746070072187
-177.68993677494908       174.0083253029043        -144.99999999999997      0.5035322303743474
-180.2268104256959        181.3725581126618        -144.99999999999997      0.5001470780690392
-176.0000000000001        182.96135976441713       -144.99999999999997      0.5348003913503938
-173.56500859015327       184.34676686156598       -140.8453324816598       0.5232563955269854
-174.0000000000001        176.00000000000017       -145.00000000000006      0.5348003911963967
-172.11788581547955       179.86761793398713       -144.99999999999997      0.5348003915660834
-173.88507252116912       179.1102652670962        -138.8174698509865       0.5167412400348484
-179.01947331219793       185.99951718890583       -135.52075845882715      0.5012952048308921
-168.7662478158387        176.00000000000014       -145.00000000000006      0.5348003917152686
-158.00000000000009       176.00000000000017       -145.00000000000006      0.5348003926721074
