% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-124.00000000000003       312.0000000000001        -145.00000000000006      1.0312019866691742
-121.52446352217781       315.60388761909775       -144.99999999999997      0.9947374325235453
-124.81928212578475       317.0910757292173        -141.45567018503618      0.9962510891347541
-129.72139602551994       311.8441931840972        -139.6988240186803       1.01976900077251
-127.54977665712066       310.45920733703633       -145.00000000000006      1.031201986994754
-155.99999999999994       258                      -144.99999999999997      1.0614405819287969
-157.99999999999997       260                      -144.99999999999997      1.0614405817055161
-156.49413840342984       256.9712721803753        -141.60963761342296      1.0720911925365553
-154.95950544748484       262.04899164308415       -144.99999999999997      1.069874713315407
-159.54138599444425       256.4487088464145        -144.99999999999997      1.061440581632951
-143.4466526853475        291.3749703647239        -142.10669619877035      1.0303527410951847
-157.4188000901589        288.2370067281157        -138.21201072267226      0.9895371210031528
-159.8076334650993        287.8099413762862        -144.99999999999997      0.9399191007211828
-154.96222363064896       289.486404557322         -141.3926517893468       0.9840006958374351
-163.55156171214085       285.4572455242132        -135.93750000000003      0.9824303023334375
-165.16687066495197       281.4287860796268        -140.71729298701962      0.9776973472384579
-140.20430912059226       287.81712926050875       -145.00000000000006      1.0312019891033002
-136.76624781583865       284                      -145.00000000000006      1.0312019895423303
-141.45536289264746       286.6472754044766        -139.73712672762875      1.0448405850811753
-149.2295914915791        291.18528991526944       -137.27341503295065      1.019131033035607
-153.84554542936522       282.07030881154384       -137.04590410810968      1.0244306812611617
-142.12938493525021       281.6392841913165        -138.47392837726758      1.0590277429576778
-147.98741057992325       282.87713068009117       -137.20571418863378      1.0426255443517092
-144                      258                      -144.99999999999997      1.1416287806338452
-141.99999999999994       260                      -144.99999999999997      1.141628780687997
-141.27531577255436       256.25742834505013       -141.0714942604033       1.1303663926320242
-140.19371883221362       256.1531613405894        -144.99999999999997      1.141628780857839
-146.95631751873285       261.37429131720717       -140.7990533876258       1.1011014135553019
-146.28302184744152       261.16975142117184       -144.99999999999997      1.1060120829728113
-126.00000000000003       284                      -145.00000000000006      1.0312019900072744
-124.00000000000003       286.00000000000017       -145.00000000000006      1.0312019899856075
-128.17215688058565       288.18245722388343       -145.00000000000006      1.0312019894922364
-127.2283450250952        283.46337012446037       -140.18228700774267      1.0667328430649237
-121.33156821331181       281.73830204329363       -144.99999999999997      1.0662311100129143
-152.0025974704704        308.3499242396668        -138.32684868029213      0.977816867430015
-174                      229.99999999999997       -144.99999999999997      1.0614405806073623
-175.99999999999997       232                      -144.99999999999997      1.0614405804117637
-172.62885489878107       231.92285286527834       -141.60156249999997      1.0516299016597113
-172.15331136344415       233.8256553122311        -144.99999999999997      1.0614405809588474
-122.65439517532216       203.5677835326865        -150                     0.7851612965900283
-122.49445536792551       207.65546007242776       -150                     0.7867215606473374
-119.84458275968778       201.71833659914438       -155.62254636345705      0.7930640465090224
-125.13483641825245       206.74119858823929       -155.1673381775334       0.7762021154309493
-128.22252371445154       206.00208082462566       -150                     0.7676313590626174
-174.48821390596018       227.192762441329         -139.90234374999997      1.0413576624771086
