% Model:              9.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 28 2023, 15:47
% Dimension:          3
% Nodes:              41061
% Expressions:        1
% Description:        Electric potential
% Length unit:        µm
% x                       y                        z                        V (mV)
-175.99999999999997       232                      -144.99999999999997      0.4227403379347819
-172.62885489878107       231.92285286527834       -141.60156249999997      0.4198534063950276
-172.15331136344415       233.8256553122311        -144.99999999999997      0.4227403381356988
-122.65439517532216       203.5677835326865        -150                     0.32077582857142456
-122.49445536792551       207.65546007242776       -150                     0.32212745469000964
-119.84458275968778       201.71833659914438       -155.62254636345705      0.3256339848881964
-125.13483641825245       206.74119858823929       -155.1673381775334       0.31561079264695846
-128.22252371445154       206.00208082462566       -150                     0.30997888818527697
-174.48821390596018       227.192762441329         -139.90234374999997      0.41565185863596915
-178.03715463392146       228.04513313367153       -144.99999999999997      0.4056342103125657
-171.5245983983496        201.5198248145737        -144.99999999999997      0.4492014614489862
-176.0000000000001        204.00000000000014       -145.00000000000006      0.4492014609967555
-171.32837861464188       200.12100666376517       -139.27534210206426      0.438723561675957
-174.00000000000014       206.00000000000014       -144.99999999999997      0.4492014610537494
-176.29543205911085       204.44229638795747       -136.94196995417636      0.42173033023881606
-177.67251807359904       208.05875170275715       -144.99999999999997      0.4200173935242499
-176                      286.00000000000017       -145.00000000000006      0.3851788060619978
-174.00000000000003       284.0000000000001        -145.00000000000006      0.3851788062035951
-172.1623373321693        287.8166942349409        -144.99999999999997      0.3851788063530846
-175.50060011777913       289.1828044025344        -140.17314712726753      0.36968704075237463
-180.1523698726562        283.0176968874627        -140.56297616134233      0.3542055856350848
-178.6391852498301        282.5299879000436        -144.99999999999997      0.3607815551605586
-144                      232                      -144.99999999999997      0.49823150017522433
-141.99999999999994       229.99999999999994       -144.99999999999997      0.498231500285283
-140.20430912059248       233.81712926050847       -144.99999999999997      0.4982315003195072
-143.77379005770214       234.73500815916415       -139.5137987834406       0.49177102709909976
-125.99999999999997       260                      -144.99999999999997      0.4982314999412196
-123.99999999999997       258                      -144.99999999999997      0.4982315000198353
-126.57512440260888       259.7860766313704        -141.75620662405944      0.5027821659943796
-127.54977665712053       256.4592073370361        -144.99999999999997      0.49823149989829957
-122.58006832648375       261.7808918596948        -144.99999999999997      0.5045065032405534
-176.0000000000001        178.00000000000014       -145.00000000000006      0.44920146098551916
-177.8254405043664        178.16384565473984       -141.54221209281206      0.4179217722955224
-182.12943370143623       177.01278181157625       -144.99999999999997      0.39883851738138726
