time	amplitude
277689.0	-0.9998925137021692
277690.0	-0.9998930497923162
277691.0	-0.9998935832087024
277692.0	-0.9998941139646632
277693.0	-0.9998946420734676
277694.0	-0.9998951675483184
277695.0	-0.9998956904023525
277696.0	-0.9998962106486411
277697.0	-0.9998967283001906
277698.0	-0.9998972433699422
277699.0	-0.9998977558707727
277700.0	-0.9998982658154947
277701.0	-0.9998987732168567
277702.0	-0.999899278087544
277703.0	-0.999899780440178
277704.0	-0.9999002802873179
277705.0	-0.9999007776414599
277706.0	-0.9999012725150376
277707.0	-0.9999017649204232
277708.0	-0.9999022548699266
277709.0	-0.9999027423757966
277710.0	-0.999903227450221
277711.0	-0.9999037101053265
277712.0	-0.9999041903531798
277713.0	-0.9999046682057868
277714.0	-0.9999051436750941
277715.0	-0.9999056167729883
277716.0	-0.9999060875112968
277717.0	-0.9999065559017883
277718.0	-0.9999070219561724
277719.0	-0.9999074856861007
277720.0	-0.9999079471031662
277721.0	-0.9999084062189045
277722.0	-0.9999088630447936
277723.0	-0.999909317592254
277724.0	-0.9999097698726495
277725.0	-0.9999102198972871
277726.0	-0.9999106676774174
277727.0	-0.9999111132242351
277728.0	-0.9999115565488788
277729.0	-0.9999119976624314
277730.0	-0.9999124365759211
277731.0	-0.9999128733003207
277732.0	-0.9999133078465483
277733.0	-0.9999137402254674
277734.0	-0.9999141704478878
277735.0	-0.9999145985245648
277736.0	-0.9999150244662005
277737.0	-0.9999154482834434
277738.0	-0.9999158699868891
277739.0	-0.9999162895870799
277740.0	-0.9999167070945062
277741.0	-0.9999171225196055
277742.0	-0.9999175358727634
277743.0	-0.9999179471643138
277744.0	-0.9999183564045391
277745.0	-0.9999187636036703
277746.0	-0.9999191687718872
277747.0	-0.9999195719193193
277748.0	-0.9999199730560453
277749.0	-0.9999203721920933
277750.0	-0.9999207693374421
277751.0	-0.9999211645020203
277752.0	-0.9999215576957068
277753.0	-0.9999219489283315
277754.0	-0.9999223382096756
277755.0	-0.9999227255494707
277756.0	-0.9999231109574006
277757.0	-0.9999234944431004
277758.0	-0.9999238760161573
277759.0	-0.9999242556861108
277760.0	-0.9999246334624523
277761.0	-0.9999250093546265
277762.0	-0.9999253833720306
277763.0	-0.9999257555240152
277764.0	-0.9999261258198839
277765.0	-0.9999264942688945
277766.0	-0.9999268608802578
277767.0	-0.9999272256631393
277768.0	-0.9999275886266586
277769.0	-0.9999279497798899
277770.0	-0.9999283091318618
277771.0	-0.9999286666915583
277772.0	-0.9999290224679185
277773.0	-0.9999293764698366
277774.0	-0.9999297287061628
277775.0	-0.9999300791857029
277776.0	-0.9999304279172192
277777.0	-0.9999307749094296
277778.0	-0.9999311201710093
277779.0	-0.9999314637105895
277780.0	-0.999931805536759
277781.0	-0.9999321456580634
277782.0	-0.9999324840830056
277783.0	-0.9999328208200464
277784.0	-0.9999331558776043
277785.0	-0.9999334892640557
277786.0	-0.9999338209877351
277787.0	-0.9999341510569357
277788.0	-0.9999344794799094
277789.0	-0.9999348062648666
277790.0	-0.9999351314199771
277791.0	-0.9999354549533697
277792.0	-0.9999357768731327
277793.0	-0.9999360971873144
277794.0	-0.9999364159039223
277795.0	-0.9999367330309246
277796.0	-0.9999370485762491
277797.0	-0.999937362547785
277798.0	-0.9999376749533813
277799.0	-0.999937985800848
277800.0	-0.9999382950979567
277801.0	-0.9999386028524395
277802.0	-0.9999389090719905
277803.0	-0.9999392137642651
277804.0	-0.9999395169368805
277805.0	-0.9999398185974164
277806.0	-0.999940118753414
277807.0	-0.9999404174123774
277808.0	-0.9999407145817728
277809.0	-0.9999410102690298
277810.0	-0.9999413044815404
277811.0	-0.9999415972266601
277812.0	-0.9999418885117073
277813.0	-0.9999421783439644
277814.0	-0.9999424667306769
277815.0	-0.9999427536790548
277816.0	-0.9999430391962716
277817.0	-0.9999433232894654
277818.0	-0.9999436059657385
277819.0	-0.9999438872321578
277820.0	-0.999944167095755
277821.0	-0.9999444455635266
277822.0	-0.9999447226424345
277823.0	-0.9999449983394055
277824.0	-0.9999452726613322
277825.0	-0.9999455456150725
277826.0	-0.9999458172074503
277827.0	-0.9999460874452556
277828.0	-0.9999463563352442
277829.0	-0.9999466238841384
277830.0	-0.9999468900986268
277831.0	-0.9999471549853649
277832.0	-0.999947418550975
277833.0	-0.9999476808020461
277834.0	-0.9999479417451345
277835.0	-0.9999482013867638
277836.0	-0.9999484597334252
277837.0	-0.999948716791577
277838.0	-0.9999489725676463
277839.0	-0.9999492270680268
277840.0	-0.9999494802990814
277841.0	-0.9999497322671409
277842.0	-0.9999499829785046
277843.0	-0.99995023243944
277844.0	-0.9999504806561839
277845.0	-0.9999507276349414
277846.0	-0.9999509733818874
277847.0	-0.9999512179031653
277848.0	-0.9999514612048883
277849.0	-0.9999517032931389
277850.0	-0.9999519441739693
277851.0	-0.9999521838534016
277852.0	-0.9999524223374276
277853.0	-0.9999526596320096
277854.0	-0.9999528957430801
277855.0	-0.9999531306765416
277856.0	-0.9999533644382675
277857.0	-0.999953597034102
277858.0	-0.9999538284698599
277859.0	-0.9999540587513273
277860.0	-0.9999542878842609
277861.0	-0.9999545158743893
277862.0	-0.9999547427274122
277863.0	-0.9999549684490009
277864.0	-0.9999551930447985
277865.0	-0.9999554165204199
277866.0	-0.9999556388814519
277867.0	-0.9999558601334537
277868.0	-0.9999560802819566
277869.0	-0.9999562993324642
277870.0	-0.9999565172904528
277871.0	-0.9999567341613714
277872.0	-0.9999569499506418
277873.0	-0.9999571646636587
277874.0	-0.99995737830579
277875.0	-0.9999575908823768
277876.0	-0.9999578023987333
277877.0	-0.9999580128601477
277878.0	-0.9999582222718812
277879.0	-0.9999584306391696
277880.0	-0.9999586379672216
277881.0	-0.9999588442612208
277882.0	-0.9999590495263243
277883.0	-0.9999592537676638
277884.0	-0.9999594569903454
277885.0	-0.9999596591994497
277886.0	-0.9999598604000318
277887.0	-0.9999600605971218
277888.0	-0.9999602597957247
277889.0	-0.9999604580008205
277890.0	-0.9999606552173641
277891.0	-0.9999608514502862
277892.0	-0.9999610467044924
277893.0	-0.9999612409848643
277894.0	-0.9999614342962588
277895.0	-0.9999616266435086
277896.0	-0.9999618180314225
277897.0	-0.9999620084647853
277898.0	-0.9999621979483577
277899.0	-0.9999623864868767
277900.0	-0.9999625740850562
277901.0	-0.9999627607475856
277902.0	-0.999962946479132
277903.0	-0.9999631312843382
277904.0	-0.9999633151678248
277905.0	-0.9999634981341885
277906.0	-0.9999636801880039
277907.0	-0.9999638613338218
277908.0	-0.9999640415761714
277909.0	-0.9999642209195584
277910.0	-0.9999643993684666
277911.0	-0.9999645769273571
277912.0	-0.9999647536006689
277913.0	-0.999964929392819
277914.0	-0.9999651043082021
277915.0	-0.999965278351191
277916.0	-0.9999654515261369
