node_type_id model_processing dynamics_params population pop_name model_type morphology model_template location ei
476218657 aibs_perisomatic 476218657_fit.json v1 e4Scnn1a biophysical Scnn1a-Tg3-Cre_Ai14_IVSCC_-187852.04.02.01_484775243_m.swc ctdb:Biophys1.hoc VisL4 e
100000110  e4other_avg_lif.json v1 LIFe4other point_process  nrn:IntFire1 VisL4 e
477135941 aibs_perisomatic 477135941_fit.json v1 e4other biophysical Slc17a6-IRES-Cre_Ai14-190263.06.01.01_491771398_m.swc ctdb:Biophys1.hoc VisL4 e
483061182 aibs_perisomatic 483061182_fit.json v1 e4other biophysical Cux2-CreERT2_Ai14-198017.05.01.01_496121314_m.swc ctdb:Biophys1.hoc VisL4 e
485909730 aibs_perisomatic 485909730_fit.json v1 e4other biophysical Cux2-CreERT2_Ai14-205530.03.02.01_500961528_m.swc ctdb:Biophys1.hoc VisL4 e
486146717 aibs_perisomatic 486146717_fit.json v1 e4other biophysical Cux2-CreERT2_Ai14-205221.03.01.01_500961566_m.swc ctdb:Biophys1.hoc VisL4 e
487601493 aibs_perisomatic 487601493_fit.json v1 e4other biophysical Cux2-CreERT2_Ai14-211771.03.01.01_496123846_m.swc ctdb:Biophys1.hoc VisL4 e
100000114  i4Htr3a_avg_lif.json v1 LIFi4Htr3a point_process  nrn:IntFire1 VisL4 i
474626527 aibs_perisomatic 474626527_fit.json v1 i4Htr3a biophysical Htr3a-Cre_NO152_Ai14-182004.05.02.01_491120373_m.swc ctdb:Biophys1.hoc VisL4 i
100000112  i4Pvalb_avg_lif.json v1 LIFi4Pvalb point_process  nrn:IntFire1 VisL4 i
333604946 aibs_perisomatic 333604946_fit.json v1 i4Pvalb biophysical Pvalb-IRES-Cre_Ai14-176848.03.01.01_491119484_m.swc ctdb:Biophys1.hoc VisL4 i
487667205 aibs_perisomatic 487667205_fit.json v1 i4Pvalb biophysical Pvalb-IRES-Cre_Ai14-212813.03.01.01_496163999_m.swc ctdb:Biophys1.hoc VisL4 i
100000115  i4Sst_avg_lif.json v1 LIFi4Sst point_process  nrn:IntFire1 VisL4 i
313862167 aibs_perisomatic 313862167_fit.json v1 i4Sst biophysical Sst-IRES-Cre_Ai14-167638.05.02.01_501934125_m.swc ctdb:Biophys1.hoc VisL4 i
473016550 aibs_perisomatic 473016550_fit.json v1 i4Sst biophysical Sst-IRES-Cre_Ai14-181378.05.01.01_491120060_m.swc ctdb:Biophys1.hoc VisL4 i
100000101  e5Rbp4_avg_lif.json v1 LIFe5Rbp4 point_process  nrn:IntFire1 VisL5 e
471129934 aibs_perisomatic 471129934_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-180747.06.01.01_495335491_m.swc ctdb:Biophys1.hoc VisL5 e
471143169 aibs_perisomatic 471143169_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-180747.06.02.01_492413283_m.swc ctdb:Biophys1.hoc VisL5 e
471758398 aibs_perisomatic 471758398_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-180748.06.01.01_495335436_m.swc ctdb:Biophys1.hoc VisL5 e
471767045 aibs_perisomatic 471767045_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-180748.02.02.01_491771193_m.swc ctdb:Biophys1.hoc VisL5 e
485574832 aibs_perisomatic 485574832_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-203498.04.02.01_496001061_m.swc ctdb:Biophys1.hoc VisL5 e
485835055 aibs_perisomatic 485835055_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-204744.04.01.01_496123897_m.swc ctdb:Biophys1.hoc VisL5 e
485880739 aibs_perisomatic 485880739_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-204745.05.01.01_496001050_m.swc ctdb:Biophys1.hoc VisL5 e
486052980 aibs_perisomatic 486052980_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-205726.03.02.01_496001094_m.swc ctdb:Biophys1.hoc VisL5 e
486110216 aibs_perisomatic 486110216_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-205727.04.02.01_496085260_m.swc ctdb:Biophys1.hoc VisL5 e
487664663 aibs_perisomatic 487664663_fit.json v1 e5Rbp4 biophysical Rbp4-Cre_KL100_Ai14-211531.03.01.01_496085294_m.swc ctdb:Biophys1.hoc VisL5 e
100000119  e5noRbp4_avg_lif.json v1 LIFe5noRbp4 point_process  nrn:IntFire1 VisL5 e
314804042 aibs_perisomatic 314804042_fit.json v1 e5noRbp4 biophysical Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc ctdb:Biophys1.hoc VisL5 e
314831019 aibs_perisomatic 314831019_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc ctdb:Biophys1.hoc VisL5 e
320207387 aibs_perisomatic 320207387_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc ctdb:Biophys1.hoc VisL5 e
323865917 aibs_perisomatic 323865917_fit.json v1 e5noRbp4 biophysical Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc ctdb:Biophys1.hoc VisL5 e
