edge_type_id target_query source_query weight_function dynamics_params target_sections syn_weight delay distance_range model_template weight_sigma
194 node_type_id=='471758398' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0006198463559269999 1.5 "[0.0, 1e+20]" exp2syn 30.0
195 node_type_id=='471767045' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000794301297115 1.5 "[0.0, 1e+20]" exp2syn 30.0
196 node_type_id=='485574832' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000835992146815 1.5 "[0.0, 1e+20]" exp2syn 30.0
197 node_type_id=='485835055' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000647903145051 1.5 "[0.0, 1e+20]" exp2syn 30.0
198 node_type_id=='485880739' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.0007721614098510001 1.5 "[0.0, 1e+20]" exp2syn 30.0
199 node_type_id=='486052980' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000897951825332 1.5 "[0.0, 1e+20]" exp2syn 30.0
200 node_type_id=='486110216' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000688643322757 1.5 "[0.0, 1e+20]" exp2syn 30.0
201 node_type_id=='487664663' pop_name=='e4other' DirectionRule_EE AMPA_ExcToExc.json "[""basal"", ""apical""]" 0.000890493189227 1.5 "[0.0, 1e+20]" exp2syn 30.0
202 node_type_id=='471129934' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000631063328775 0.9 "[0.0, 50.0]" exp2syn 90.0
203 node_type_id=='471143169' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 8.1517086419e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
204 node_type_id=='471758398' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000365628546548 0.9 "[0.0, 50.0]" exp2syn 90.0
205 node_type_id=='471767045' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00019647203037299999 0.9 "[0.0, 50.0]" exp2syn 90.0
206 node_type_id=='485574832' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00017913739783700005 0.9 "[0.0, 50.0]" exp2syn 90.0
207 node_type_id=='485835055' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000108195401734 0.9 "[0.0, 50.0]" exp2syn 90.0
208 node_type_id=='485880739' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.00018263021151700002 0.9 "[0.0, 50.0]" exp2syn 90.0
209 node_type_id=='486052980' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000343337565178 0.9 "[0.0, 50.0]" exp2syn 90.0
210 node_type_id=='486110216' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.0008594619073300001 0.9 "[0.0, 50.0]" exp2syn 90.0
211 node_type_id=='487664663' pop_name=='i5Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000176302119792 0.9 "[0.0, 50.0]" exp2syn 90.0
212 node_type_id=='471129934' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 0.000319715784342 0.9 "[0.0, 50.0]" exp2syn 90.0
213 node_type_id=='471143169' pop_name=='i4Pvalb' DirectionRule_others GABA_InhToExc.json "[""somatic"", ""basal"", ""apical""]" 4.18124345218e-05 0.9 "[0.0, 50.0]" exp2syn 90.0
